description,color,category,tokens_clean
"Bluz - omzu açık Bluz modeli, kot kumaş kumaştan üretilmiş olup yumuşak doku, çift cepli, kolay ütülenir ve esnek yapı. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: yumuşak doku, çift cepli, kolay ütülenir, esnek yapı",siyah,bluz,"['bluz', 'omzu', 'açık', 'bluz', 'modeli', 'kot', 'kumaş', 'kumaştan', 'üretilmiş', 'olup', 'yumuşak', 'doku', 'çift', 'cepli', 'kolay', 'ütülenir', 'esnek', 'yapı', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'çift', 'cepli', 'kolay', 'ütülenir', 'esnek', 'yapı']"
"Pantolon - yüksek bel Yeni sezonun favori parçalarından biri olan bu pantolon, saten kumaşı sayesinde esnek yapı ve çift cepli. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: esnek yapı, çift cepli",mor,pantolon,"['pantolon', 'yüksek', 'bel', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'pantolon', 'saten', 'kumaşı', 'sayesinde', 'esnek', 'yapı', 'çift', 'cepli', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'esnek', 'yapı', 'çift', 'cepli']"
"Çanta - kapitoneli Çanta modeli, kot kumaş kumaştan üretilmiş olup yumuşak doku ve çift cepli. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: yumuşak doku, çift cepli",mor,çanta,"['çanta', 'kapitoneli', 'çanta', 'modeli', 'kot', 'kumaş', 'kumaştan', 'üretilmiş', 'olup', 'yumuşak', 'doku', 'çift', 'cepli', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'çift', 'cepli']"
"Pantolon - rahat kesim Yeni sezonun favori parçalarından biri olan bu pantolon, deri görünümlü kumaşı sayesinde günlük kullanım için uygun, şık tasarım, düğmeli model ve nefes alabilir kumaş. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: günlük kullanım için uygun, şık tasarım, düğmeli model, nefes alabilir kumaş",lacivert,pantolon,"['pantolon', 'rahat', 'kesim', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'pantolon', 'deri', 'görünümlü', 'kumaşı', 'sayesinde', 'günlük', 'kullanım', 'uygun', 'şık', 'tasarım', 'düğmeli', 'model', 'nefes', 'alabilir', 'kumaş', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'şık', 'tasarım', 'düğmeli', 'model', 'nefes', 'alabilir', 'kumaş']"
"Ceket - düğmeli Yeni sezonun favori parçalarından biri olan bu ceket, likralı kumaş kumaşı sayesinde günlük kullanım için uygun, düğmeli model ve rahat kalıp. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: günlük kullanım için uygun, düğmeli model, rahat kalıp",yeşil,ceket,"['ceket', 'düğmeli', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'ceket', 'likralı', 'kumaş', 'kumaşı', 'sayesinde', 'günlük', 'kullanım', 'uygun', 'düğmeli', 'model', 'rahat', 'kalıp', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'düğmeli', 'model', 'rahat', 'kalıp']"
"Bluz - omzu açık Yeni sezonun favori parçalarından biri olan bu bluz, deri görünümlü kumaşı sayesinde düğmeli model ve günlük kullanım için uygun. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: düğmeli model, günlük kullanım için uygun",mavi,bluz,"['bluz', 'omzu', 'açık', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'bluz', 'deri', 'görünümlü', 'kumaşı', 'sayesinde', 'düğmeli', 'model', 'günlük', 'kullanım', 'uygun', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'düğmeli', 'model', 'günlük', 'kullanım', 'uygun']"
"Çanta - kapitoneli Bu özel tasarım çanta, viskon yapısıyla şık tasarım, yumuşak doku, nefes alabilir kumaş ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: şık tasarım, yumuşak doku, nefes alabilir kumaş, kolay ütülenir",yeşil,çanta,"['çanta', 'kapitoneli', 'özel', 'tasarım', 'çanta', 'viskon', 'yapısıyla', 'şık', 'tasarım', 'yumuşak', 'doku', 'nefes', 'alabilir', 'kumaş', 'kolay', 'ütülenir', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'şık', 'tasarım', 'yumuşak', 'doku', 'nefes', 'alabilir', 'kumaş', 'kolay', 'ütülenir']"
"Hırka - uzun Her gardıropta olması gereken bu hırka, likralı kumaş içeriğiyle çift cepli, esnek yapı ve günlük kullanım için uygun. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: çift cepli, esnek yapı, günlük kullanım için uygun",kırmızı,hırka,"['hırka', 'uzun', 'gardıropta', 'olması', 'gereken', 'hırka', 'likralı', 'kumaş', 'içeriğiyle', 'çift', 'cepli', 'esnek', 'yapı', 'günlük', 'kullanım', 'uygun', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'esnek', 'yapı', 'günlük', 'kullanım', 'uygun']"
"Bluz - omzu açık %100 pamuk tercih edilerek üretilen bu bluz, çift cepli ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: çift cepli, düğmeli model",beyaz,bluz,"['bluz', 'omzu', 'açık', 'pamuk', 'tercih', 'edilerek', 'üretilen', 'bluz', 'çift', 'cepli', 'düğmeli', 'model', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'düğmeli', 'model']"
"Bluz - dantel detaylı Yeni sezonun favori parçalarından biri olan bu bluz, örme kumaş kumaşı sayesinde şık tasarım, nefes alabilir kumaş ve çift cepli. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: şık tasarım, nefes alabilir kumaş, çift cepli",mor,bluz,"['bluz', 'dantel', 'detaylı', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'bluz', 'örme', 'kumaş', 'kumaşı', 'sayesinde', 'şık', 'tasarım', 'nefes', 'alabilir', 'kumaş', 'çift', 'cepli', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'şık', 'tasarım', 'nefes', 'alabilir', 'kumaş', 'çift', 'cepli']"
"T-shirt - oversize T-shirt modeli, saten kumaştan üretilmiş olup nefes alabilir kumaş, çift cepli, rahat kalıp ve yumuşak doku. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: nefes alabilir kumaş, çift cepli, rahat kalıp, yumuşak doku",gri,t-shirt,"['tshirt', 'oversize', 'tshirt', 'modeli', 'saten', 'kumaştan', 'üretilmiş', 'olup', 'nefes', 'alabilir', 'kumaş', 'çift', 'cepli', 'rahat', 'kalıp', 'yumuşak', 'doku', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'nefes', 'alabilir', 'kumaş', 'çift', 'cepli', 'rahat', 'kalıp', 'yumuşak', 'doku']"
"Ceket - kruvaze Ceket modeli, örme kumaş kumaştan üretilmiş olup kolay ütülenir, günlük kullanım için uygun, nefes alabilir kumaş ve çift cepli. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: kolay ütülenir, günlük kullanım için uygun, nefes alabilir kumaş, çift cepli",mavi,ceket,"['ceket', 'kruvaze', 'ceket', 'modeli', 'örme', 'kumaş', 'kumaştan', 'üretilmiş', 'olup', 'kolay', 'ütülenir', 'günlük', 'kullanım', 'uygun', 'nefes', 'alabilir', 'kumaş', 'çift', 'cepli', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'kolay', 'ütülenir', 'günlük', 'kullanım', 'uygun', 'nefes', 'alabilir', 'kumaş', 'çift', 'cepli']"
"Etek - pileli Her gardıropta olması gereken bu etek, örme kumaş içeriğiyle esnek yapı, çift cepli ve düğmeli model. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: esnek yapı, çift cepli, düğmeli model",siyah,etek,"['etek', 'pileli', 'gardıropta', 'olması', 'gereken', 'etek', 'örme', 'kumaş', 'içeriğiyle', 'esnek', 'yapı', 'çift', 'cepli', 'düğmeli', 'model', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'esnek', 'yapı', 'çift', 'cepli', 'düğmeli', 'model']"
"T-shirt - bisiklet yaka Bu özel tasarım t-shirt, kot kumaş yapısıyla şık tasarım, günlük kullanım için uygun ve kolay ütülenir. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: şık tasarım, günlük kullanım için uygun, kolay ütülenir",beyaz,t-shirt,"['tshirt', 'bisiklet', 'yaka', 'özel', 'tasarım', 'tshirt', 'kot', 'kumaş', 'yapısıyla', 'şık', 'tasarım', 'günlük', 'kullanım', 'uygun', 'kolay', 'ütülenir', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'şık', 'tasarım', 'günlük', 'kullanım', 'uygun', 'kolay', 'ütülenir']"
"Gömlek - uzun kollu Her gardıropta olması gereken bu gömlek, saten içeriğiyle şık tasarım ve esnek yapı. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: şık tasarım, esnek yapı",pembe,gömlek,"['gömlek', 'uzun', 'kollu', 'gardıropta', 'olması', 'gereken', 'gömlek', 'saten', 'içeriğiyle', 'şık', 'tasarım', 'esnek', 'yapı', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'şık', 'tasarım', 'esnek', 'yapı']"
"Hırka - cepli Yeni sezonun favori parçalarından biri olan bu hırka, saten kumaşı sayesinde düğmeli model, nefes alabilir kumaş ve esnek yapı. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: düğmeli model, nefes alabilir kumaş, esnek yapı",mor,hırka,"['hırka', 'cepli', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'hırka', 'saten', 'kumaşı', 'sayesinde', 'düğmeli', 'model', 'nefes', 'alabilir', 'kumaş', 'esnek', 'yapı', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'düğmeli', 'model', 'nefes', 'alabilir', 'kumaş', 'esnek', 'yapı']"
"Sweatshirt - oversize Sweatshirt modeli, deri görünümlü kumaştan üretilmiş olup günlük kullanım için uygun, yumuşak doku ve kolay ütülenir. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku, kolay ütülenir",lacivert,sweatshirt,"['sweatshirt', 'oversize', 'sweatshirt', 'modeli', 'deri', 'görünümlü', 'kumaştan', 'üretilmiş', 'olup', 'günlük', 'kullanım', 'uygun', 'yumuşak', 'doku', 'kolay', 'ütülenir', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'yumuşak', 'doku', 'kolay', 'ütülenir']"
"Bluz - dantel detaylı Bluz modeli, viskon kumaştan üretilmiş olup nefes alabilir kumaş ve günlük kullanım için uygun. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: nefes alabilir kumaş, günlük kullanım için uygun",lacivert,bluz,"['bluz', 'dantel', 'detaylı', 'bluz', 'modeli', 'viskon', 'kumaştan', 'üretilmiş', 'olup', 'nefes', 'alabilir', 'kumaş', 'günlük', 'kullanım', 'uygun', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'nefes', 'alabilir', 'kumaş', 'günlük', 'kullanım', 'uygun']"
"Gömlek - slim fit Bu özel tasarım gömlek, %100 pamuk yapısıyla rahat kalıp, nefes alabilir kumaş ve yumuşak doku. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: rahat kalıp, nefes alabilir kumaş, yumuşak doku",mor,gömlek,"['gömlek', 'slim', 'fit', 'özel', 'tasarım', 'gömlek', 'pamuk', 'yapısıyla', 'rahat', 'kalıp', 'nefes', 'alabilir', 'kumaş', 'yumuşak', 'doku', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'rahat', 'kalıp', 'nefes', 'alabilir', 'kumaş', 'yumuşak', 'doku']"
"Bluz - omzu açık deri görünümlü tercih edilerek üretilen bu bluz, günlük kullanım için uygun, esnek yapı ve yumuşak doku. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: günlük kullanım için uygun, esnek yapı, yumuşak doku",mor,bluz,"['bluz', 'omzu', 'açık', 'deri', 'görünümlü', 'tercih', 'edilerek', 'üretilen', 'bluz', 'günlük', 'kullanım', 'uygun', 'esnek', 'yapı', 'yumuşak', 'doku', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'esnek', 'yapı', 'yumuşak', 'doku']"
"Bluz - volanlı Yeni sezonun favori parçalarından biri olan bu bluz, polyester kumaşı sayesinde şık tasarım ve kolay ütülenir. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: şık tasarım, kolay ütülenir",yeşil,bluz,"['bluz', 'volanlı', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'bluz', 'polyester', 'kumaşı', 'sayesinde', 'şık', 'tasarım', 'kolay', 'ütülenir', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'şık', 'tasarım', 'kolay', 'ütülenir']"
"Bluz - dantel detaylı Her gardıropta olması gereken bu bluz, polyester içeriğiyle çift cepli ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: çift cepli, düğmeli model",kırmızı,bluz,"['bluz', 'dantel', 'detaylı', 'gardıropta', 'olması', 'gereken', 'bluz', 'polyester', 'içeriğiyle', 'çift', 'cepli', 'düğmeli', 'model', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'düğmeli', 'model']"
"Sweatshirt - baskılı Yeni sezonun favori parçalarından biri olan bu sweatshirt, %100 pamuk kumaşı sayesinde yumuşak doku, günlük kullanım için uygun, nefes alabilir kumaş ve esnek yapı. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, günlük kullanım için uygun, nefes alabilir kumaş, esnek yapı",kırmızı,sweatshirt,"['sweatshirt', 'baskılı', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'sweatshirt', 'pamuk', 'kumaşı', 'sayesinde', 'yumuşak', 'doku', 'günlük', 'kullanım', 'uygun', 'nefes', 'alabilir', 'kumaş', 'esnek', 'yapı', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'günlük', 'kullanım', 'uygun', 'nefes', 'alabilir', 'kumaş', 'esnek', 'yapı']"
"Çanta - omuz çantası Çanta modeli, viskon kumaştan üretilmiş olup düğmeli model, esnek yapı, kolay ütülenir ve rahat kalıp. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: düğmeli model, esnek yapı, kolay ütülenir, rahat kalıp",lacivert,çanta,"['çanta', 'omuz', 'çantası', 'çanta', 'modeli', 'viskon', 'kumaştan', 'üretilmiş', 'olup', 'düğmeli', 'model', 'esnek', 'yapı', 'kolay', 'ütülenir', 'rahat', 'kalıp', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'düğmeli', 'model', 'esnek', 'yapı', 'kolay', 'ütülenir', 'rahat', 'kalıp']"
"Pantolon - yüksek bel Bu özel tasarım pantolon, deri görünümlü yapısıyla rahat kalıp ve esnek yapı. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: rahat kalıp, esnek yapı",yeşil,pantolon,"['pantolon', 'yüksek', 'bel', 'özel', 'tasarım', 'pantolon', 'deri', 'görünümlü', 'yapısıyla', 'rahat', 'kalıp', 'esnek', 'yapı', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'rahat', 'kalıp', 'esnek', 'yapı']"
"T-shirt - oversize örme kumaş tercih edilerek üretilen bu t-shirt, günlük kullanım için uygun, rahat kalıp ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: günlük kullanım için uygun, rahat kalıp, şık tasarım",kırmızı,t-shirt,"['tshirt', 'oversize', 'örme', 'kumaş', 'tercih', 'edilerek', 'üretilen', 'tshirt', 'günlük', 'kullanım', 'uygun', 'rahat', 'kalıp', 'şık', 'tasarım', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'rahat', 'kalıp', 'şık', 'tasarım']"
"Sweatshirt - baskılı likralı kumaş tercih edilerek üretilen bu sweatshirt, günlük kullanım için uygun, yumuşak doku, rahat kalıp ve kolay ütülenir. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku, rahat kalıp, kolay ütülenir",mavi,sweatshirt,"['sweatshirt', 'baskılı', 'likralı', 'kumaş', 'tercih', 'edilerek', 'üretilen', 'sweatshirt', 'günlük', 'kullanım', 'uygun', 'yumuşak', 'doku', 'rahat', 'kalıp', 'kolay', 'ütülenir', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'yumuşak', 'doku', 'rahat', 'kalıp', 'kolay', 'ütülenir']"
"Hırka - cepli Hırka modeli, deri görünümlü kumaştan üretilmiş olup şık tasarım ve esnek yapı. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: şık tasarım, esnek yapı",bej,hırka,"['hırka', 'cepli', 'hırka', 'modeli', 'deri', 'görünümlü', 'kumaştan', 'üretilmiş', 'olup', 'şık', 'tasarım', 'esnek', 'yapı', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'şık', 'tasarım', 'esnek', 'yapı']"
"Pantolon - lastikli Pantolon modeli, kot kumaş kumaştan üretilmiş olup esnek yapı, çift cepli ve düğmeli model. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: esnek yapı, çift cepli, düğmeli model",kırmızı,pantolon,"['pantolon', 'lastikli', 'pantolon', 'modeli', 'kot', 'kumaş', 'kumaştan', 'üretilmiş', 'olup', 'esnek', 'yapı', 'çift', 'cepli', 'düğmeli', 'model', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'esnek', 'yapı', 'çift', 'cepli', 'düğmeli', 'model']"
"Elbise - uzun Yeni sezonun favori parçalarından biri olan bu elbise, kot kumaş kumaşı sayesinde çift cepli, kolay ütülenir ve yumuşak doku. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: çift cepli, kolay ütülenir, yumuşak doku",kırmızı,elbise,"['elbise', 'uzun', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'elbise', 'kot', 'kumaş', 'kumaşı', 'sayesinde', 'çift', 'cepli', 'kolay', 'ütülenir', 'yumuşak', 'doku', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'kolay', 'ütülenir', 'yumuşak', 'doku']"
"Etek - asimetri kesim likralı kumaş tercih edilerek üretilen bu etek, esnek yapı, şık tasarım, düğmeli model ve kolay ütülenir. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: esnek yapı, şık tasarım, düğmeli model, kolay ütülenir",bej,etek,"['etek', 'asimetri', 'kesim', 'likralı', 'kumaş', 'tercih', 'edilerek', 'üretilen', 'etek', 'esnek', 'yapı', 'şık', 'tasarım', 'düğmeli', 'model', 'kolay', 'ütülenir', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'esnek', 'yapı', 'şık', 'tasarım', 'düğmeli', 'model', 'kolay', 'ütülenir']"
"Çanta - el çantası Çanta modeli, saten kumaştan üretilmiş olup çift cepli, günlük kullanım için uygun ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: çift cepli, günlük kullanım için uygun, şık tasarım",beyaz,çanta,"['çanta', 'el', 'çantası', 'çanta', 'modeli', 'saten', 'kumaştan', 'üretilmiş', 'olup', 'çift', 'cepli', 'günlük', 'kullanım', 'uygun', 'şık', 'tasarım', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'günlük', 'kullanım', 'uygun', 'şık', 'tasarım']"
"T-shirt - baskılı T-shirt modeli, %100 pamuk kumaştan üretilmiş olup yumuşak doku, günlük kullanım için uygun, çift cepli ve düğmeli model. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, günlük kullanım için uygun, çift cepli, düğmeli model",mavi,t-shirt,"['tshirt', 'baskılı', 'tshirt', 'modeli', 'pamuk', 'kumaştan', 'üretilmiş', 'olup', 'yumuşak', 'doku', 'günlük', 'kullanım', 'uygun', 'çift', 'cepli', 'düğmeli', 'model', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'günlük', 'kullanım', 'uygun', 'çift', 'cepli', 'düğmeli', 'model']"
"Elbise - askılı örme kumaş tercih edilerek üretilen bu elbise, esnek yapı, çift cepli ve yumuşak doku. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: esnek yapı, çift cepli, yumuşak doku",gri,elbise,"['elbise', 'askılı', 'örme', 'kumaş', 'tercih', 'edilerek', 'üretilen', 'elbise', 'esnek', 'yapı', 'çift', 'cepli', 'yumuşak', 'doku', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'esnek', 'yapı', 'çift', 'cepli', 'yumuşak', 'doku']"
"Hırka - düğmeli kot kumaş tercih edilerek üretilen bu hırka, çift cepli, şık tasarım ve nefes alabilir kumaş. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: çift cepli, şık tasarım, nefes alabilir kumaş",yeşil,hırka,"['hırka', 'düğmeli', 'kot', 'kumaş', 'tercih', 'edilerek', 'üretilen', 'hırka', 'çift', 'cepli', 'şık', 'tasarım', 'nefes', 'alabilir', 'kumaş', 'ofisten', 'sokağa', 'ortama', 'uyum', 'sağlar', 'öne', 'çıkan', 'özellikler', 'çift', 'cepli', 'şık', 'tasarım', 'nefes', 'alabilir', 'kumaş']"
"Gömlek - düğmeli Her gardıropta olması gereken bu gömlek, viskon içeriğiyle yumuşak doku, kolay ütülenir ve esnek yapı. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: yumuşak doku, kolay ütülenir, esnek yapı",mor,gömlek,"['gömlek', 'düğmeli', 'gardıropta', 'olması', 'gereken', 'gömlek', 'viskon', 'içeriğiyle', 'yumuşak', 'doku', 'kolay', 'ütülenir', 'esnek', 'yapı', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'kolay', 'ütülenir', 'esnek', 'yapı']"
"T-shirt - baskılı Yeni sezonun favori parçalarından biri olan bu t-shirt, polyester kumaşı sayesinde yumuşak doku, günlük kullanım için uygun, nefes alabilir kumaş ve şık tasarım. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: yumuşak doku, günlük kullanım için uygun, nefes alabilir kumaş, şık tasarım",siyah,t-shirt,"['tshirt', 'baskılı', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'tshirt', 'polyester', 'kumaşı', 'sayesinde', 'yumuşak', 'doku', 'günlük', 'kullanım', 'uygun', 'nefes', 'alabilir', 'kumaş', 'şık', 'tasarım', 'gardırobunuzun', 'vazgeçilmezi', 'olmaya', 'aday', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'günlük', 'kullanım', 'uygun', 'nefes', 'alabilir', 'kumaş', 'şık', 'tasarım']"
"T-shirt - oversize Her gardıropta olması gereken bu t-shirt, likralı kumaş içeriğiyle günlük kullanım için uygun, düğmeli model ve çift cepli. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: günlük kullanım için uygun, düğmeli model, çift cepli",siyah,t-shirt,"['tshirt', 'oversize', 'gardıropta', 'olması', 'gereken', 'tshirt', 'likralı', 'kumaş', 'içeriğiyle', 'günlük', 'kullanım', 'uygun', 'düğmeli', 'model', 'çift', 'cepli', 'hem', 'şıklık', 'hem', 'konfor', 'arada', 'öne', 'çıkan', 'özellikler', 'günlük', 'kullanım', 'uygun', 'düğmeli', 'model', 'çift', 'cepli']"
"Ceket - kruvaze Ceket modeli, saten kumaştan üretilmiş olup yumuşak doku, kolay ütülenir ve şık tasarım. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, kolay ütülenir, şık tasarım",beyaz,ceket,"['ceket', 'kruvaze', 'ceket', 'modeli', 'saten', 'kumaştan', 'üretilmiş', 'olup', 'yumuşak', 'doku', 'kolay', 'ütülenir', 'şık', 'tasarım', 'sade', 'etkileyici', 'görünüm', 'sunar', 'öne', 'çıkan', 'özellikler', 'yumuşak', 'doku', 'kolay', 'ütülenir', 'şık', 'tasarım']"
"Hırka - uzun Her gardıropta olması gereken bu hırka, örme kumaş içeriğiyle kolay ütülenir, düğmeli model ve günlük kullanım için uygun. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: kolay ütülenir, düğmeli model, günlük kullanım için uygun",lacivert,hırka,"['hırka', 'uzun', 'gardıropta', 'olması', 'gereken', 'hırka', 'örme', 'kumaş', 'içeriğiyle', 'kolay', 'ütülenir', 'düğmeli', 'model', 'günlük', 'kullanım', 'uygun', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'kolay', 'ütülenir', 'düğmeli', 'model', 'günlük', 'kullanım', 'uygun']"
"Hırka - örgü Yeni sezonun favori parçalarından biri olan bu hırka, saten kumaşı sayesinde kolay ütülenir ve yumuşak doku. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: kolay ütülenir, yumuşak doku",mor,hırka,"['hırka', 'örgü', 'yeni', 'sezonun', 'favori', 'parçalarından', 'biri', 'hırka', 'saten', 'kumaşı', 'sayesinde', 'kolay', 'ütülenir', 'yumuşak', 'doku', 'sezonun', 'trend', 'renkleriyle', 'kombin', 'yapabilirsiniz', 'öne', 'çıkan', 'özellikler', 'kolay', 'ütülenir', 'yumuşak', 'doku']"
