description,color,category
"Çanta - kapitoneli polyester tercih edilerek üretilen bu çanta, rahat kalıp, şık tasarım, kolay ütülenir ve çift cepli. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: rahat kalıp, şık tasarım, kolay ütülenir, çift cepli",bej,çanta
"Etek - mini viskon tercih edilerek üretilen bu etek, çift cepli, günlük kullanım için uygun ve esnek yapı. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: çift cepli, günlük kullanım için uygun, esnek yapı",yeşil,etek
"Pantolon - lastikli polyester tercih edilerek üretilen bu pantolon, günlük kullanım için uygun, yumuşak doku, şık tasarım ve nefes alabilir kumaş. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku, şık tasarım, nefes alabilir kumaş",siyah,pantolon
"Etek - mini Her gardıropta olması gereken bu etek, %100 pamuk içeriğiyle esnek yapı ve rahat kalıp. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: esnek yapı, rahat kalıp",mor,etek
"T-shirt - bisiklet yaka Her gardıropta olması gereken bu t-shirt, kot kumaş içeriğiyle nefes alabilir kumaş, kolay ütülenir ve rahat kalıp. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: nefes alabilir kumaş, kolay ütülenir, rahat kalıp",mavi,t-shirt
"Sweatshirt - baskılı Bu özel tasarım sweatshirt, deri görünümlü yapısıyla düğmeli model ve kolay ütülenir. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: düğmeli model, kolay ütülenir",yeşil,sweatshirt
"Bluz - kruvaze Her gardıropta olması gereken bu bluz, kot kumaş içeriğiyle şık tasarım ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: şık tasarım, düğmeli model",siyah,bluz
"Sweatshirt - kapüşonlu %100 pamuk tercih edilerek üretilen bu sweatshirt, günlük kullanım için uygun, kolay ütülenir ve düğmeli model. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: günlük kullanım için uygun, kolay ütülenir, düğmeli model",mavi,sweatshirt
"Bluz - omzu açık Bu özel tasarım bluz, likralı kumaş yapısıyla esnek yapı, nefes alabilir kumaş, kolay ütülenir ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: esnek yapı, nefes alabilir kumaş, kolay ütülenir, düğmeli model",gri,bluz
"Pantolon - rahat kesim Pantolon modeli, likralı kumaş kumaştan üretilmiş olup kolay ütülenir ve günlük kullanım için uygun. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: kolay ütülenir, günlük kullanım için uygun",mor,pantolon
"Ceket - astar detaylı Bu özel tasarım ceket, polyester yapısıyla nefes alabilir kumaş, şık tasarım ve çift cepli. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: nefes alabilir kumaş, şık tasarım, çift cepli",mavi,ceket
"Hırka - örgü Yeni sezonun favori parçalarından biri olan bu hırka, polyester kumaşı sayesinde yumuşak doku, şık tasarım, günlük kullanım için uygun ve nefes alabilir kumaş. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: yumuşak doku, şık tasarım, günlük kullanım için uygun, nefes alabilir kumaş",mavi,hırka
"T-shirt - oversize T-shirt modeli, polyester kumaştan üretilmiş olup kolay ütülenir ve çift cepli. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: kolay ütülenir, çift cepli",siyah,t-shirt
"Ceket - düğmeli polyester tercih edilerek üretilen bu ceket, kolay ütülenir ve nefes alabilir kumaş. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: kolay ütülenir, nefes alabilir kumaş",siyah,ceket
"Gömlek - düğmeli Yeni sezonun favori parçalarından biri olan bu gömlek, saten kumaşı sayesinde esnek yapı, çift cepli ve düğmeli model. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: esnek yapı, çift cepli, düğmeli model",pembe,gömlek
"Etek - kalem Yeni sezonun favori parçalarından biri olan bu etek, likralı kumaş kumaşı sayesinde yumuşak doku, düğmeli model ve rahat kalıp. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: yumuşak doku, düğmeli model, rahat kalıp",kırmızı,etek
"T-shirt - bisiklet yaka Her gardıropta olması gereken bu t-shirt, saten içeriğiyle yumuşak doku, nefes alabilir kumaş, çift cepli ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: yumuşak doku, nefes alabilir kumaş, çift cepli, düğmeli model",mor,t-shirt
"Ceket - düğmeli Her gardıropta olması gereken bu ceket, örme kumaş içeriğiyle rahat kalıp ve esnek yapı. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: rahat kalıp, esnek yapı",beyaz,ceket
"Elbise - v yaka saten tercih edilerek üretilen bu elbise, günlük kullanım için uygun ve yumuşak doku. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku",gri,elbise
"Elbise - uzun Bu özel tasarım elbise, deri görünümlü yapısıyla çift cepli, nefes alabilir kumaş, yumuşak doku ve rahat kalıp. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: çift cepli, nefes alabilir kumaş, yumuşak doku, rahat kalıp",lacivert,elbise
"Bluz - volanlı Her gardıropta olması gereken bu bluz, %100 pamuk içeriğiyle yumuşak doku, düğmeli model, şık tasarım ve esnek yapı. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: yumuşak doku, düğmeli model, şık tasarım, esnek yapı",mor,bluz
"T-shirt - baskılı Her gardıropta olması gereken bu t-shirt, kot kumaş içeriğiyle şık tasarım, yumuşak doku ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: şık tasarım, yumuşak doku, düğmeli model",yeşil,t-shirt
"Sweatshirt - kapüşonlu Her gardıropta olması gereken bu sweatshirt, polyester içeriğiyle şık tasarım, rahat kalıp, çift cepli ve düğmeli model. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: şık tasarım, rahat kalıp, çift cepli, düğmeli model",gri,sweatshirt
"Gömlek - slim fit likralı kumaş tercih edilerek üretilen bu gömlek, günlük kullanım için uygun, nefes alabilir kumaş ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: günlük kullanım için uygun, nefes alabilir kumaş, düğmeli model",kırmızı,gömlek
"Hırka - cepli Bu özel tasarım hırka, polyester yapısıyla rahat kalıp ve günlük kullanım için uygun. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: rahat kalıp, günlük kullanım için uygun",gri,hırka
"Etek - pileli Yeni sezonun favori parçalarından biri olan bu etek, örme kumaş kumaşı sayesinde çift cepli, nefes alabilir kumaş ve rahat kalıp. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: çift cepli, nefes alabilir kumaş, rahat kalıp",yeşil,etek
"Bluz - kruvaze viskon tercih edilerek üretilen bu bluz, günlük kullanım için uygun ve esnek yapı. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: günlük kullanım için uygun, esnek yapı",pembe,bluz
"Çanta - kapitoneli Bu özel tasarım çanta, saten yapısıyla kolay ütülenir ve günlük kullanım için uygun. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: kolay ütülenir, günlük kullanım için uygun",kırmızı,çanta
"Çanta - omuz çantası Her gardıropta olması gereken bu çanta, kot kumaş içeriğiyle esnek yapı, rahat kalıp ve nefes alabilir kumaş. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: esnek yapı, rahat kalıp, nefes alabilir kumaş",siyah,çanta
"Çanta - sırt çantası Yeni sezonun favori parçalarından biri olan bu çanta, polyester kumaşı sayesinde düğmeli model, yumuşak doku ve günlük kullanım için uygun. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: düğmeli model, yumuşak doku, günlük kullanım için uygun",gri,çanta
"Ceket - astar detaylı Bu özel tasarım ceket, polyester yapısıyla rahat kalıp, çift cepli ve nefes alabilir kumaş. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: rahat kalıp, çift cepli, nefes alabilir kumaş",bej,ceket
"Hırka - uzun Yeni sezonun favori parçalarından biri olan bu hırka, polyester kumaşı sayesinde nefes alabilir kumaş, günlük kullanım için uygun ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: nefes alabilir kumaş, günlük kullanım için uygun, kolay ütülenir",pembe,hırka
"Çanta - el çantası Bu özel tasarım çanta, viskon yapısıyla çift cepli ve esnek yapı. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: çift cepli, esnek yapı",pembe,çanta
"Etek - mini likralı kumaş tercih edilerek üretilen bu etek, nefes alabilir kumaş ve yumuşak doku. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: nefes alabilir kumaş, yumuşak doku",mavi,etek
"Ceket - astar detaylı Yeni sezonun favori parçalarından biri olan bu ceket, viskon kumaşı sayesinde yumuşak doku, çift cepli, rahat kalıp ve esnek yapı. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, çift cepli, rahat kalıp, esnek yapı",mavi,ceket
"Pantolon - dar paça Pantolon modeli, likralı kumaş kumaştan üretilmiş olup yumuşak doku, esnek yapı ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: yumuşak doku, esnek yapı, düğmeli model",gri,pantolon
"Etek - kalem saten tercih edilerek üretilen bu etek, çift cepli ve nefes alabilir kumaş. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: çift cepli, nefes alabilir kumaş",mor,etek
"Çanta - el çantası deri görünümlü tercih edilerek üretilen bu çanta, günlük kullanım için uygun, rahat kalıp, kolay ütülenir ve esnek yapı. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: günlük kullanım için uygun, rahat kalıp, kolay ütülenir, esnek yapı",mavi,çanta
"Çanta - el çantası Her gardıropta olması gereken bu çanta, deri görünümlü içeriğiyle günlük kullanım için uygun ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: günlük kullanım için uygun, düğmeli model",beyaz,çanta
"Pantolon - rahat kesim Bu özel tasarım pantolon, likralı kumaş yapısıyla günlük kullanım için uygun, düğmeli model ve esnek yapı. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: günlük kullanım için uygun, düğmeli model, esnek yapı",kırmızı,pantolon
"Çanta - sırt çantası Bu özel tasarım çanta, saten yapısıyla günlük kullanım için uygun, yumuşak doku ve esnek yapı. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku, esnek yapı",gri,çanta
"Hırka - cepli Her gardıropta olması gereken bu hırka, likralı kumaş içeriğiyle nefes alabilir kumaş ve şık tasarım. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: nefes alabilir kumaş, şık tasarım",pembe,hırka
"Çanta - sırt çantası Bu özel tasarım çanta, %100 pamuk yapısıyla çift cepli, kolay ütülenir ve rahat kalıp. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: çift cepli, kolay ütülenir, rahat kalıp",mavi,çanta
"Ceket - kruvaze Her gardıropta olması gereken bu ceket, likralı kumaş içeriğiyle yumuşak doku, çift cepli ve rahat kalıp. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: yumuşak doku, çift cepli, rahat kalıp",kırmızı,ceket
"Hırka - cepli kot kumaş tercih edilerek üretilen bu hırka, rahat kalıp ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: rahat kalıp, düğmeli model",mor,hırka
"Bluz - volanlı saten tercih edilerek üretilen bu bluz, düğmeli model, esnek yapı, rahat kalıp ve günlük kullanım için uygun. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: düğmeli model, esnek yapı, rahat kalıp, günlük kullanım için uygun",yeşil,bluz
"Etek - asimetri kesim Etek modeli, %100 pamuk kumaştan üretilmiş olup günlük kullanım için uygun ve rahat kalıp. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: günlük kullanım için uygun, rahat kalıp",bej,etek
"Gömlek - düğmeli Yeni sezonun favori parçalarından biri olan bu gömlek, örme kumaş kumaşı sayesinde nefes alabilir kumaş ve yumuşak doku. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: nefes alabilir kumaş, yumuşak doku",gri,gömlek
"Bluz - kruvaze Bluz modeli, deri görünümlü kumaştan üretilmiş olup düğmeli model ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: düğmeli model, kolay ütülenir",lacivert,bluz
"Hırka - örgü Her gardıropta olması gereken bu hırka, viskon içeriğiyle yumuşak doku, rahat kalıp, düğmeli model ve nefes alabilir kumaş. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, rahat kalıp, düğmeli model, nefes alabilir kumaş",mavi,hırka
"Bluz - volanlı Yeni sezonun favori parçalarından biri olan bu bluz, deri görünümlü kumaşı sayesinde nefes alabilir kumaş ve esnek yapı. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: nefes alabilir kumaş, esnek yapı",kırmızı,bluz
"Ceket - düğmeli deri görünümlü tercih edilerek üretilen bu ceket, çift cepli, günlük kullanım için uygun ve nefes alabilir kumaş. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: çift cepli, günlük kullanım için uygun, nefes alabilir kumaş",siyah,ceket
"Gömlek - düğmeli Her gardıropta olması gereken bu gömlek, likralı kumaş içeriğiyle kolay ütülenir, nefes alabilir kumaş ve çift cepli. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: kolay ütülenir, nefes alabilir kumaş, çift cepli",gri,gömlek
"Hırka - örgü Her gardıropta olması gereken bu hırka, viskon içeriğiyle kolay ütülenir ve şık tasarım. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: kolay ütülenir, şık tasarım",kırmızı,hırka
"Ceket - astar detaylı polyester tercih edilerek üretilen bu ceket, kolay ütülenir ve çift cepli. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: kolay ütülenir, çift cepli",mor,ceket
"Pantolon - yüksek bel Her gardıropta olması gereken bu pantolon, saten içeriğiyle günlük kullanım için uygun ve rahat kalıp. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: günlük kullanım için uygun, rahat kalıp",pembe,pantolon
"Etek - kalem Her gardıropta olması gereken bu etek, saten içeriğiyle yumuşak doku, düğmeli model ve kolay ütülenir. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, düğmeli model, kolay ütülenir",yeşil,etek
"Pantolon - yüksek bel Her gardıropta olması gereken bu pantolon, kot kumaş içeriğiyle rahat kalıp, çift cepli ve günlük kullanım için uygun. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: rahat kalıp, çift cepli, günlük kullanım için uygun",lacivert,pantolon
"T-shirt - bisiklet yaka kot kumaş tercih edilerek üretilen bu t-shirt, düğmeli model, günlük kullanım için uygun, nefes alabilir kumaş ve çift cepli. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: düğmeli model, günlük kullanım için uygun, nefes alabilir kumaş, çift cepli",pembe,t-shirt
"Etek - kalem Yeni sezonun favori parçalarından biri olan bu etek, polyester kumaşı sayesinde çift cepli, esnek yapı, nefes alabilir kumaş ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: çift cepli, esnek yapı, nefes alabilir kumaş, düğmeli model",siyah,etek
"Gömlek - uzun kollu Gömlek modeli, örme kumaş kumaştan üretilmiş olup yumuşak doku ve rahat kalıp. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: yumuşak doku, rahat kalıp",gri,gömlek
"T-shirt - basic T-shirt modeli, polyester kumaştan üretilmiş olup çift cepli, düğmeli model, nefes alabilir kumaş ve kolay ütülenir. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: çift cepli, düğmeli model, nefes alabilir kumaş, kolay ütülenir",mor,t-shirt
"T-shirt - baskılı saten tercih edilerek üretilen bu t-shirt, düğmeli model, kolay ütülenir, yumuşak doku ve şık tasarım. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: düğmeli model, kolay ütülenir, yumuşak doku, şık tasarım",siyah,t-shirt
"Sweatshirt - baskılı deri görünümlü tercih edilerek üretilen bu sweatshirt, rahat kalıp, günlük kullanım için uygun, çift cepli ve kolay ütülenir. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: rahat kalıp, günlük kullanım için uygun, çift cepli, kolay ütülenir",beyaz,sweatshirt
"Elbise - dantel detaylı Yeni sezonun favori parçalarından biri olan bu elbise, örme kumaş kumaşı sayesinde düğmeli model ve günlük kullanım için uygun. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: düğmeli model, günlük kullanım için uygun",gri,elbise
"T-shirt - oversize saten tercih edilerek üretilen bu t-shirt, düğmeli model, yumuşak doku ve şık tasarım. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: düğmeli model, yumuşak doku, şık tasarım",kırmızı,t-shirt
"Hırka - düğmeli Hırka modeli, likralı kumaş kumaştan üretilmiş olup yumuşak doku, kolay ütülenir ve nefes alabilir kumaş. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: yumuşak doku, kolay ütülenir, nefes alabilir kumaş",kırmızı,hırka
"Elbise - askılı Her gardıropta olması gereken bu elbise, %100 pamuk içeriğiyle çift cepli, günlük kullanım için uygun ve şık tasarım. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: çift cepli, günlük kullanım için uygun, şık tasarım",gri,elbise
"Pantolon - yüksek bel Pantolon modeli, viskon kumaştan üretilmiş olup düğmeli model, rahat kalıp, günlük kullanım için uygun ve yumuşak doku. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: düğmeli model, rahat kalıp, günlük kullanım için uygun, yumuşak doku",kırmızı,pantolon
"Gömlek - düğmeli Her gardıropta olması gereken bu gömlek, viskon içeriğiyle rahat kalıp, düğmeli model, şık tasarım ve nefes alabilir kumaş. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: rahat kalıp, düğmeli model, şık tasarım, nefes alabilir kumaş",lacivert,gömlek
"Elbise - dantel detaylı Her gardıropta olması gereken bu elbise, kot kumaş içeriğiyle yumuşak doku, esnek yapı, çift cepli ve düğmeli model. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, esnek yapı, çift cepli, düğmeli model",mavi,elbise
"Elbise - askılı Her gardıropta olması gereken bu elbise, %100 pamuk içeriğiyle nefes alabilir kumaş, kolay ütülenir ve günlük kullanım için uygun. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: nefes alabilir kumaş, kolay ütülenir, günlük kullanım için uygun",beyaz,elbise
"Sweatshirt - oversize örme kumaş tercih edilerek üretilen bu sweatshirt, günlük kullanım için uygun, yumuşak doku ve esnek yapı. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku, esnek yapı",beyaz,sweatshirt
"Gömlek - klasik yaka Her gardıropta olması gereken bu gömlek, %100 pamuk içeriğiyle kolay ütülenir, yumuşak doku ve çift cepli. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: kolay ütülenir, yumuşak doku, çift cepli",mavi,gömlek
"Sweatshirt - baskılı Yeni sezonun favori parçalarından biri olan bu sweatshirt, deri görünümlü kumaşı sayesinde esnek yapı, çift cepli, nefes alabilir kumaş ve yumuşak doku. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: esnek yapı, çift cepli, nefes alabilir kumaş, yumuşak doku",yeşil,sweatshirt
"Hırka - örgü Her gardıropta olması gereken bu hırka, viskon içeriğiyle rahat kalıp ve nefes alabilir kumaş. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: rahat kalıp, nefes alabilir kumaş",siyah,hırka
"Çanta - kapitoneli kot kumaş tercih edilerek üretilen bu çanta, kolay ütülenir, rahat kalıp, çift cepli ve nefes alabilir kumaş. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: kolay ütülenir, rahat kalıp, çift cepli, nefes alabilir kumaş",kırmızı,çanta
"Sweatshirt - fermuarlı Bu özel tasarım sweatshirt, deri görünümlü yapısıyla esnek yapı ve günlük kullanım için uygun. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: esnek yapı, günlük kullanım için uygun",lacivert,sweatshirt
"Elbise - askılı Bu özel tasarım elbise, viskon yapısıyla şık tasarım, rahat kalıp ve günlük kullanım için uygun. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: şık tasarım, rahat kalıp, günlük kullanım için uygun",kırmızı,elbise
"Pantolon - yüksek bel likralı kumaş tercih edilerek üretilen bu pantolon, esnek yapı, kolay ütülenir, nefes alabilir kumaş ve düğmeli model. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: esnek yapı, kolay ütülenir, nefes alabilir kumaş, düğmeli model",lacivert,pantolon
"Çanta - omuz çantası Yeni sezonun favori parçalarından biri olan bu çanta, %100 pamuk kumaşı sayesinde günlük kullanım için uygun, yumuşak doku, rahat kalıp ve düğmeli model. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: günlük kullanım için uygun, yumuşak doku, rahat kalıp, düğmeli model",kırmızı,çanta
"Elbise - askılı Bu özel tasarım elbise, viskon yapısıyla esnek yapı, çift cepli ve nefes alabilir kumaş. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: esnek yapı, çift cepli, nefes alabilir kumaş",kırmızı,elbise
"Elbise - askılı Her gardıropta olması gereken bu elbise, %100 pamuk içeriğiyle günlük kullanım için uygun, esnek yapı, düğmeli model ve kolay ütülenir. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: günlük kullanım için uygun, esnek yapı, düğmeli model, kolay ütülenir",yeşil,elbise
"Ceket - astar detaylı Yeni sezonun favori parçalarından biri olan bu ceket, %100 pamuk kumaşı sayesinde günlük kullanım için uygun, nefes alabilir kumaş, kolay ütülenir ve esnek yapı. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: günlük kullanım için uygun, nefes alabilir kumaş, kolay ütülenir, esnek yapı",gri,ceket
"Çanta - el çantası Bu özel tasarım çanta, viskon yapısıyla yumuşak doku ve esnek yapı. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, esnek yapı",siyah,çanta
"Sweatshirt - fermuarlı %100 pamuk tercih edilerek üretilen bu sweatshirt, çift cepli, esnek yapı, kolay ütülenir ve şık tasarım. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: çift cepli, esnek yapı, kolay ütülenir, şık tasarım",yeşil,sweatshirt
"T-shirt - basic T-shirt modeli, likralı kumaş kumaştan üretilmiş olup esnek yapı ve yumuşak doku. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: esnek yapı, yumuşak doku",siyah,t-shirt
"Hırka - cepli polyester tercih edilerek üretilen bu hırka, esnek yapı ve rahat kalıp. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: esnek yapı, rahat kalıp",kırmızı,hırka
"Pantolon - lastikli kot kumaş tercih edilerek üretilen bu pantolon, kolay ütülenir ve rahat kalıp. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: kolay ütülenir, rahat kalıp",gri,pantolon
"Bluz - dantel detaylı polyester tercih edilerek üretilen bu bluz, yumuşak doku ve nefes alabilir kumaş. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: yumuşak doku, nefes alabilir kumaş",yeşil,bluz
"Gömlek - uzun kollu Yeni sezonun favori parçalarından biri olan bu gömlek, kot kumaş kumaşı sayesinde çift cepli, yumuşak doku ve şık tasarım. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: çift cepli, yumuşak doku, şık tasarım",bej,gömlek
"T-shirt - oversize Her gardıropta olması gereken bu t-shirt, deri görünümlü içeriğiyle şık tasarım, düğmeli model ve günlük kullanım için uygun. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: şık tasarım, düğmeli model, günlük kullanım için uygun",pembe,t-shirt
"Çanta - kapitoneli %100 pamuk tercih edilerek üretilen bu çanta, şık tasarım, yumuşak doku ve düğmeli model. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: şık tasarım, yumuşak doku, düğmeli model",beyaz,çanta
"Elbise - askılı Elbise modeli, polyester kumaştan üretilmiş olup günlük kullanım için uygun, kolay ütülenir, düğmeli model ve çift cepli. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: günlük kullanım için uygun, kolay ütülenir, düğmeli model, çift cepli",lacivert,elbise
"Çanta - omuz çantası Yeni sezonun favori parçalarından biri olan bu çanta, kot kumaş kumaşı sayesinde nefes alabilir kumaş, kolay ütülenir, rahat kalıp ve çift cepli. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: nefes alabilir kumaş, kolay ütülenir, rahat kalıp, çift cepli",mor,çanta
"Sweatshirt - baskılı Bu özel tasarım sweatshirt, likralı kumaş yapısıyla nefes alabilir kumaş ve kolay ütülenir. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: nefes alabilir kumaş, kolay ütülenir",beyaz,sweatshirt
"Çanta - el çantası Çanta modeli, kot kumaş kumaştan üretilmiş olup rahat kalıp ve düğmeli model. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: rahat kalıp, düğmeli model",kırmızı,çanta
"Elbise - askılı Elbise modeli, deri görünümlü kumaştan üretilmiş olup kolay ütülenir, düğmeli model, esnek yapı ve günlük kullanım için uygun. Sade ama etkileyici bir görünüm sunar. Öne çıkan özellikler: kolay ütülenir, düğmeli model, esnek yapı, günlük kullanım için uygun",kırmızı,elbise
"Ceket - cepli Ceket modeli, polyester kumaştan üretilmiş olup düğmeli model ve şık tasarım. Gardırobunuzun vazgeçilmezi olmaya aday. Öne çıkan özellikler: düğmeli model, şık tasarım",yeşil,ceket
"Elbise - askılı Her gardıropta olması gereken bu elbise, kot kumaş içeriğiyle yumuşak doku, günlük kullanım için uygun, düğmeli model ve kolay ütülenir. Sezonun trend renkleriyle kombin yapabilirsiniz. Öne çıkan özellikler: yumuşak doku, günlük kullanım için uygun, düğmeli model, kolay ütülenir",kırmızı,elbise
"T-shirt - basic Her gardıropta olması gereken bu t-shirt, likralı kumaş içeriğiyle rahat kalıp, kolay ütülenir, düğmeli model ve nefes alabilir kumaş. Ofisten sokağa her ortama uyum sağlar. Öne çıkan özellikler: rahat kalıp, kolay ütülenir, düğmeli model, nefes alabilir kumaş",gri,t-shirt
"Gömlek - slim fit Yeni sezonun favori parçalarından biri olan bu gömlek, örme kumaş kumaşı sayesinde yumuşak doku, kolay ütülenir, şık tasarım ve nefes alabilir kumaş. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: yumuşak doku, kolay ütülenir, şık tasarım, nefes alabilir kumaş",mavi,gömlek
"T-shirt - oversize Her gardıropta olması gereken bu t-shirt, likralı kumaş içeriğiyle kolay ütülenir, rahat kalıp ve esnek yapı. Hem şıklık hem konfor bir arada. Öne çıkan özellikler: kolay ütülenir, rahat kalıp, esnek yapı",beyaz,t-shirt
